STFID,SQ_MILES,POP_DEN,MINORITY_D,POP2000,WHITE,MINORITY,BLACK,AMERI_ES,ASIAN,HAWN_PI,OTHER,MULT_RACE,HISPANIC,min_per,min_pop2,WHITE_DEN,Shape_Leng,Shape_Area,PER_min
"261635514005",0.37797426006,1023.87924496000,428.60061416900,"387","225","164","147","0","8","0","2","5","2","0",0.42377260982,595.27863079000,4022.13181006000,978627.38318999996,0.41860465116
"261635001005",0.07872106028,8434.84574116000,6427.75895335000,"664","163","509","494","0","1","0","3","3","8","1",0.76656626506,2070.60219248000,1810.24018529000,203815.90868200001,0.75451807229
"261635001001",0.12154957681,7338.56935922000,4796.39678972000,"892","311","584","548","0","12","0","1","20","3","1",0.65470852018,2558.62676090000,2467.27069200000,314705.18130699999,0.65134529148
"261635002001",0.09338329223,8384.79755067000,5814.74466157000,"783","232","562","485","3","28","0","19","16","11","1",0.71775223499,2484.38445946000,2030.73751372000,241776.19360100001,0.70370370370
"261635002004",0.09423692314,8255.78737184000,6748.94700320000,"778","146","640","599","0","13","1","4","15","8","1",0.82262210797,1549.28657621000,2013.86409226000,243984.53286599999,0.81233933162
"261635031001",0.10161114356,6613.44786054000,5688.35247528000,"672","99","579","548","2","10","1","1","11","6","1",0.86160714286,974.30258659700,2142.90122265000,263075.10270400002,0.85267857143
"261635514001",0.13364647591,5357.41773308000,1361.80171427000,"716","547","186","132","4","16","0","4","13","17","0",0.25977653631,4092.88756982000,2661.28165752000,346034.52999800001,0.23603351955
"261635513001",0.15038213726,5279.88240129000,438.88191244900,"794","739","68","5","5","34","0","2","9","13","0",0.08564231738,4914.14747424000,2991.76375465000,389368.92391700001,0.06926952141
"261635076004",0.10723931120,6853.82992297000,5464.41406104000,"735","150","586","528","9","5","0","0","43","1","1",0.79727891157,1398.74080061000,2559.22340844000,277607.08311000001,0.79591836735
"261635518002",0.22661750987,7210.38723330000,180.92158908500,"1634","1605","41","4","0","15","0","0","10","12","0",0.02509179927,7082.41830444000,3052.50005796000,586765.25388500001,0.01774785802
"261635518001",0.13519921326,9400.94227909000,636.09837608300,"1271","1200","92","7","0","43","0","6","15","21","0",0.07238394965,8875.79129418000,3296.63171322000,350064.15282199997,0.05586152636
"261635051006",0.37810582363,1655.62115386000,1647.68686718000,"626","3","625","615","2","0","0","2","4","2","1",0.99840255591,7.93428667982,4467.28209642000,978885.54101199994,0.99520766773
"261635050001",0.18040948417,3408.91169244000,3137.30734622000,"615","56","566","552","0","0","0","0","7","7","1",0.92032520325,310.40496711700,3884.76063632000,467069.26546600001,0.90894308943
"261635032003",0.19386082207,8273.97708784000,7195.88406330000,"1604","215","1400","1303","7","54","0","5","20","11","1",0.87281795511,1109.04306352000,3197.56982082000,501899.42120699998,0.86596009975
"261635518003",0.14111892259,8042.86185856000,559.81153024300,"1135","1076","79","22","3","26","0","0","8","20","0",0.06960352423,7624.77476635000,2517.61442289000,365387.01426899998,0.05198237885
"261635031004",0.08117535319,9978.39822303000,8574.03106571000,"810","118","698","674","0","0","0","2","16","6","1",0.86172839506,1453.64319792000,1864.70562096000,210164.78510600000,0.85432098765
"261635517001",0.17612974665,6603.08677052000,579.11853017500,"1163","1068","102","7","2","74","0","0","12","7","0",0.08770421324,6063.71166889000,2849.69759107000,456050.32657300000,0.08168529665
"261635509001",0.39746849732,2191.36863896000,161.01905039500,"871","819","64","6","5","40","0","0","1","12","0",0.07347876005,2060.54066052000,9664.15192489000,1029161.95027999999,0.05970149254
"261635517003",0.17404134382,5642.33749563000,453.91513457700,"982","914","80","0","2","48","0","1","17","12","0",0.08146639511,5251.62573422000,2736.64425678000,450639.74351800000,0.06924643585
"261635031003",0.12112394982,7917.50930687000,6860.74059855000,"959","135","834","783","11","13","0","3","14","10","1",0.86965589155,1114.56074706000,2365.63222938000,313590.84907800000,0.85922836288
"261630000000",53.57573020800,0.00000000000,0.00000000000,"0","0","0","0","0","0","0","0","0","0","0",0.00000000000,0.00000000000,222139.54087200001,138705735.31400001049,0.00000000000
"261635076001",0.07134303315,9138.94421438000,8760.49100305000,"652","31","627","606","2","0","0","2","11","6","0",0.00000000000,434.52035375100,1783.44018621000,184685.06513199999,0.95245398773
"261635032001",0.18118462818,11314.42562550000,9918.05992633000,"2050","264","1803","1694","3","38","1","6","44","17","0",0.00000000000,1457.07725128000,3163.26999099000,469085.14716400002,0.87121951220
