STFID,WHITE,MINORITY,BLACK,AMERI_ES,ASIAN,HAWN_PI,OTHER,MULT_RACE,HISPANIC
2.62E+11,3,625,615,2,0,0,2,4,2
2.62E+11,56,566,552,0,0,0,0,7,7
2.62E+11,215,1400,1303,7,54,0,5,20,11
2.62E+11,135,834,783,11,13,0,3,14,10
2.62E+11,264,1803,1694,3,38,1,6,44,17
2.62E+11,157,1199,1102,0,45,0,6,39,7
2.62E+11,71,478,458,1,1,0,0,16,2
2.62E+11,182,879,796,2,33,0,6,34,8
2.62E+11,48,502,487,1,3,0,0,4,7
2.62E+11,160,1419,1367,10,16,0,3,23,0
2.62E+11,136,1327,1253,0,22,0,5,33,14
2.62E+11,145,1549,1394,9,112,0,8,19,7
2.62E+11,104,1423,1292,2,96,0,0,28,5
2.62E+11,120,1111,1078,1,16,0,4,9,3
2.62E+11,42,813,802,1,0,0,2,7,1
2.62E+11,66,790,774,0,1,0,1,9,5
2.62E+11,129,1211,1169,2,21,0,1,13,5
2.62E+11,23,1040,1023,2,0,0,0,7,8
2.62E+11,24,715,695,3,1,0,1,10,5
2.62E+11,38,794,769,0,4,0,0,21,0
2.62E+11,41,821,807,0,2,0,0,6,6
2.62E+11,37,543,496,0,1,1,3,22,20
2.62E+11,123,1429,1375,4,8,0,5,22,15
2.62E+11,60,823,814,1,0,0,1,4,3
2.62E+11,54,1196,1168,2,1,0,1,23,1
2.62E+11,45,1334,1301,0,1,0,3,25,4
2.62E+11,90,740,729,1,1,0,0,9,0
2.62E+11,5,969,935,0,3,0,6,10,15
2.62E+11,74,962,923,1,7,0,9,16,6
2.62E+11,11,1169,1148,0,0,0,2,15,4
2.62E+11,27,1161,1150,3,3,0,2,2,1
2.62E+11,15,994,965,1,0,0,0,16,12
2.62E+11,8,702,687,0,0,0,0,9,6
2.62E+11,20,741,717,0,1,0,4,16,3
2.62E+11,46,571,533,1,21,0,0,11,5
2.62E+11,96,719,690,1,0,0,0,23,5
2.62E+11,6,753,734,4,1,1,0,11,2
2.62E+11,14,752,738,1,1,0,1,8,3
2.62E+11,66,841,816,0,1,0,5,6,13
2.62E+11,53,928,914,7,2,0,0,5,0
2.62E+11,8,740,736,1,0,0,0,1,2
